t: 0.00000e+00   Fx1: 0.00000e+00   Fy1: 0.00000e+00   Fz1: 0.00000e+00  Fx2: 0.00000e+00   Fy2: 0.00000e+00   Fz2: 0.00000e+00  Fx3: 0.00000e+00   Fy3: 0.00000e+00   Fz3: 0.00000e+00 
t: 1.00049e-08   Fx1: -1.49641e-07   Fy1: 1.79249e-08   Fz1: 9.40763e-07  Fx2: 4.40970e-09   Fy2: 1.38946e-09   Fz2: -1.44049e-07  Fx3: 6.20154e-08   Fy3: 1.54140e-08   Fz3: 1.07024e-05 
t: 2.00043e-08   Fx1: -5.80181e-08   Fy1: 5.34076e-07   Fz1: 4.83676e-06  Fx2: -4.38936e-09   Fy2: 4.66849e-09   Fz2: 1.01059e-07  Fx3: 5.82318e-08   Fy3: 2.28993e-08   Fz3: 1.33190e-05 
t: 3.00029e-08   Fx1: 1.67742e-07   Fy1: -4.87867e-07   Fz1: 9.08596e-06  Fx2: -1.05497e-08   Fy2: 6.36825e-09   Fz2: 1.46612e-07  Fx3: 4.94691e-08   Fy3: 4.30065e-08   Fz3: 1.46330e-05 
t: 4.00015e-08   Fx1: 4.16310e-07   Fy1: 3.01320e-07   Fz1: -1.67184e-05  Fx2: 1.15868e-08   Fy2: 1.80016e-08   Fz2: -6.23006e-07  Fx3: 3.67608e-08   Fy3: 5.66190e-08   Fz3: 1.49737e-05 
t: 5.00001e-08   Fx1: 1.15627e-07   Fy1: 1.46748e-08   Fz1: -8.49853e-08  Fx2: 9.98374e-09   Fy2: 1.60474e-08   Fz2: 6.44958e-07  Fx3: 1.73511e-08   Fy3: 4.33492e-08   Fz3: 1.60877e-05 
t: 6.00038e-08   Fx1: 7.80275e-07   Fy1: 6.99679e-07   Fz1: 9.64191e-06  Fx2: -8.97093e-10   Fy2: -2.76310e-08   Fz2: -1.36616e-07  Fx3: 2.77405e-10   Fy3: 4.98943e-08   Fz3: 1.70487e-05 
t: 7.00024e-08   Fx1: 1.10399e-06   Fy1: 4.92692e-07   Fz1: 6.30211e-05  Fx2: 2.42031e-08   Fy2: 4.00344e-08   Fz2: 1.37266e-06  Fx3: -3.45930e-08   Fy3: 3.24593e-08   Fz3: 2.05601e-05 
t: 8.00010e-08   Fx1: -8.77112e-08   Fy1: -5.85600e-07   Fz1: 5.04054e-07  Fx2: 4.60815e-09   Fy2: -1.44298e-08   Fz2: 1.38789e-07  Fx3: -5.31136e-08   Fy3: 2.99882e-08   Fz3: 2.11709e-05 
t: 9.00048e-08   Fx1: -7.81483e-07   Fy1: 1.66710e-06   Fz1: -4.97502e-06  Fx2: -4.10739e-08   Fy2: 2.51851e-08   Fz2: 6.40818e-07  Fx3: -6.84874e-08   Fy3: 2.63501e-08   Fz3: 2.06691e-05 
t: 1.00003e-07   Fx1: 1.75537e-07   Fy1: -1.22849e-06   Fz1: -1.32849e-05  Fx2: 6.00379e-09   Fy2: 8.66531e-10   Fz2: -8.47748e-08  Fx3: -7.42739e-08   Fy3: 4.29586e-08   Fz3: 2.22188e-05 
t: 1.10002e-07   Fx1: -7.87772e-07   Fy1: 1.03215e-06   Fz1: 1.33359e-05  Fx2: -2.42839e-08   Fy2: -1.33448e-08   Fz2: 4.69252e-07  Fx3: -8.57765e-08   Fy3: 5.82720e-08   Fz3: 2.09516e-05 
t: 1.20001e-07   Fx1: -1.56721e-07   Fy1: -4.06145e-07   Fz1: 1.89896e-05  Fx2: -2.69269e-09   Fy2: 2.82470e-09   Fz2: -5.45086e-07  Fx3: -4.90657e-08   Fy3: 4.98796e-08   Fz3: 2.16191e-05 
t: 1.30004e-07   Fx1: 7.67327e-07   Fy1: 2.91195e-06   Fz1: -6.35572e-06  Fx2: 7.32749e-08   Fy2: -5.48924e-08   Fz2: 1.72124e-07  Fx3: -1.68408e-08   Fy3: 1.40694e-08   Fz3: 2.16718e-05 
t: 1.40003e-07   Fx1: -1.35157e-06   Fy1: -4.50364e-07   Fz1: 2.64288e-05  Fx2: 1.80553e-08   Fy2: 8.43176e-10   Fz2: 4.05128e-07  Fx3: -4.20364e-08   Fy3: 5.53514e-08   Fz3: 1.93453e-05 
t: 1.50002e-07   Fx1: -5.03136e-07   Fy1: -4.50166e-07   Fz1: -3.51149e-05  Fx2: 5.88243e-08   Fy2: -2.43957e-08   Fz2: -1.52673e-06  Fx3: 2.37257e-08   Fy3: 3.29643e-08   Fz3: 1.98175e-05 
t: 1.60000e-07   Fx1: 1.12494e-06   Fy1: -1.56637e-06   Fz1: 2.25664e-05  Fx2: 3.97016e-08   Fy2: 6.84346e-09   Fz2: -7.89362e-07  Fx3: -9.48397e-09   Fy3: -1.12421e-09   Fz3: 1.98266e-05 
t: 1.70004e-07   Fx1: -1.73347e-06   Fy1: 3.43656e-07   Fz1: -4.60924e-05  Fx2: 6.52929e-08   Fy2: -7.78840e-08   Fz2: -5.66990e-07  Fx3: 4.63944e-09   Fy3: 2.90324e-09   Fz3: 1.94377e-05 
t: 1.80002e-07   Fx1: 2.46712e-07   Fy1: 3.73811e-07   Fz1: 3.41885e-05  Fx2: -1.31202e-09   Fy2: -1.34296e-08   Fz2: 1.47551e-07  Fx3: -2.44939e-08   Fy3: 3.28445e-08   Fz3: 1.88907e-05 
t: 1.90001e-07   Fx1: 1.74841e-06   Fy1: 1.27284e-06   Fz1: 4.55049e-06  Fx2: -5.19898e-09   Fy2: 4.47119e-08   Fz2: -2.42423e-07  Fx3: -1.60633e-09   Fy3: -1.58023e-08   Fz3: 1.90938e-05 
t: 2.00005e-07   Fx1: -7.34334e-07   Fy1: -3.38797e-07   Fz1: 5.32594e-05  Fx2: -3.57970e-09   Fy2: 2.60078e-08   Fz2: -5.03137e-07  Fx3: -1.09600e-09   Fy3: -1.01593e-08   Fz3: 1.72764e-05 
t: 2.10003e-07   Fx1: 9.41735e-07   Fy1: -3.90042e-07   Fz1: -5.23145e-05  Fx2: -1.58063e-08   Fy2: 1.69612e-08   Fz2: 6.22735e-07  Fx3: -3.21638e-08   Fy3: -2.72056e-08   Fz3: 1.89292e-05 
t: 2.20002e-07   Fx1: -1.13550e-06   Fy1: 1.03917e-06   Fz1: 2.25772e-05  Fx2: 3.73170e-08   Fy2: -3.03088e-08   Fz2: 1.03181e-06  Fx3: -4.08819e-08   Fy3: -8.27634e-08   Fz3: 2.03384e-05 
